root, WNsense, synonyms, definition, Category
total,WID-00008007-R-??-totally,"(wholly, entirely, completely, totally, all, altogether, whole)","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a totally new situation""; ""the directions were all wrong""; ""it was not altogether her fault""; ""an altogether new approach""; ""a whole new idea""",Not-a-Feeling
whole,WID-00008007-R-??-whole,"(wholly, entirely, completely, totally, all, altogether, whole)","to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'); ""he was wholly convinced""; ""entirely satisfied with the meal""; ""it was completely different from what we expected""; ""was completely at fault""; ""a totally new situation""; ""the directions were all wrong""; ""it was not altogether her fault""; ""an altogether new approach""; ""a whole new idea""",Not-a-Feeling
flutter,WID-00008195-V-??-flutter,"(bat, flutter)","wink briefly; ""bat one's eyelids""",Not-a-Feeling
alone,WID-00008600-R-??-alone,"(entirely, exclusively, solely, alone, only)","without any others being included or involved; ""was entirely to blame""; ""a school devoted entirely to the needs of problem children""; ""he works for Mr. Smith exclusively""; ""did it solely for money""; ""the burden of proof rests on the prosecution alone""; ""a privilege granted only to him""",Not-a-Feeling
perfect,WID-00008997-R-??-perfectly,"(absolutely, perfectly, utterly, dead)","completely and without qualification; used informally as intensifiers; ""an absolutely magnificent painting""; ""a perfectly idiotic idea""; ""you're perfectly right""; ""utterly miserable""; ""you can be dead sure of my innocence""; ""was dead tired""; ""dead right""",Not-a-Feeling
utter,WID-00008997-R-??-utterly,"(absolutely, perfectly, utterly, dead)","completely and without qualification; used informally as intensifiers; ""an absolutely magnificent painting""; ""a perfectly idiotic idea""; ""you're perfectly right""; ""utterly miserable""; ""you can be dead sure of my innocence""; ""was dead tired""; ""dead right""",Not-a-Feeling
slough,WID-00009147-V-??-slough,"(shed, molt, exuviate, moult, slough)","cast off hair, skin, horn, or feathers; ""our dog sheds every Spring""",Not-a-Feeling
clean,WID-00009373-R-??-clean,"(clean, plumb, plum)","completely; used as intensifiers; ""clean forgot the appointment""; ""I'm plumb (or plum) tuckered out""",Not-a-Feeling
jerk,WID-00009631-V-??-jerk,"(twitch, jerk)","make an uncontrolled, short, jerky motion; ""his face is twitching""",Physiological
twitch,WID-00009631-V-??-twitch,"(twitch, jerk)","make an uncontrolled, short, jerky motion; ""his face is twitching""",Physiological
perfect,WID-00009650-R-??-perfectly,(perfectly),"in a perfect or faultless way; ""She performed perfectly on the balance beam""; ""spoke English perfectly""; ""solved the problem perfectly""",Not-a-Feeling
glutton,WID-00009978-A-??-gluttonous,(gluttonous),"given to excess in consumption of especially food or drink; ""over-fed women and their gluttonous husbands""; ""a gluttonous debauch""; ""a gluttonous appetite for food and praise and pleasure""",Other
act,WID-00010435-V-??-act,"(act, behave, do)","behave in a certain manner; show a certain behavior; conduct or comport oneself; ""You should act like an adult""; ""Don't behave like a fool""; ""What makes her do this way?""; ""The dog acts ferocious, but he is really afraid of people""",Not-a-Feeling
behave,WID-00010435-V-??-behave,"(act, behave, do)","behave in a certain manner; show a certain behavior; conduct or comport oneself; ""You should act like an adult""; ""Don't behave like a fool""; ""What makes her do this way?""; ""The dog acts ferocious, but he is really afraid of people""",Not-a-Feeling
do,WID-00010435-V-??-do,"(act, behave, do)","behave in a certain manner; show a certain behavior; conduct or comport oneself; ""You should act like an adult""; ""Don't behave like a fool""; ""What makes her do this way?""; ""The dog acts ferocious, but he is really afraid of people""",Not-a-Feeling
full,WID-00010466-R-??-full,"(fully, to_the_full, full)","to the greatest degree or extent; completely or entirely; (`full' in this sense is used as a combining form); ""fully grown""; ""he didn't fully understand""; ""knew full well""; ""full-grown""; ""full-fledged""",Not-a-Feeling
raven,WID-00010726-A-??-ravenous,"(edacious, esurient, rapacious, ravening, ravenous, voracious, wolfish)","devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks""",Physiological
good,WID-00011093-R-??-good,"(well, good)","(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'); ""the children behaved well""; ""a task well done""; ""the party went well""; ""he slept well""; ""a well-argued thesis""; ""a well-seasoned dish""; ""a well-planned party""; ""the baby can walk pretty good""",Not-a-Feeling
well,WID-00011093-R-??-well,"(well, good)","(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'); ""the children behaved well""; ""a task well done""; ""the party went well""; ""he slept well""; ""a well-argued thesis""; ""a well-seasoned dish""; ""a well-planned party""; ""the baby can walk pretty good""",Not-a-Feeling
bad,WID-00011516-R-??-badly,"(ill, badly, poorly)","(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; ""he was ill prepared""; ""it ill befits a man to betray old friends""; ""the car runs badly""; ""he performed badly on the exam""; ""the team played poorly""; ""ill-fitting clothes""; ""an ill-conceived plan""",Not-a-Feeling
ill,WID-00011516-R-??-ill,"(ill, badly, poorly)","(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; ""he was ill prepared""; ""it ill befits a man to betray old friends""; ""the car runs badly""; ""he performed badly on the exam""; ""the team played poorly""; ""ill-fitting clothes""; ""an ill-conceived plan""",Not-a-Feeling
poor,WID-00011516-R-??-poorly,"(ill, badly, poorly)","(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; ""he was ill prepared""; ""it ill befits a man to betray old friends""; ""the car runs badly""; ""he performed badly on the exam""; ""the team played poorly""; ""ill-fitting clothes""; ""an ill-conceived plan""",Wellbeing
abstract,WID-00011757-A-??-abstract,(abstract),"existing only in the mind; separated from embodiment; ""abstract words like `truth' and `justice'""",Not-a-Feeling
ill,WID-00011916-R-??-ill,(ill),"with difficulty or inconvenience; scarcely or hardly; ""we can ill afford to buy a new car just now""",Not-a-Feeling
well,WID-00012129-R-??-well,(well),"without unusual distress or resentment; with good humor; ""took the joke well""; ""took the tragic news well""",Not-a-Feeling
menace,WID-00012137-V-??-menace,(menace),"act in a threatening manner; ""A menacing person""",Actions
make,WID-00012267-V-??-make,(make),"act in a certain way so as to acquire; ""make friends""; ""make enemies""",Not-a-Feeling
bad,WID-00012286-R-??-badly,(badly),"with unusual distress or resentment or regret or emotional display; ""they took their defeat badly""; ""took her father's death badly""; ""conducted himself very badly at the time of the earthquake""",Not-a-Feeling
well,WID-00012531-R-??-well,"(well, easily)","indicating high probability; in all likelihood; ""I might well do it""; ""a mistake that could easily have ended in disaster""; ""you may well need your umbrella""; ""he could equally well be trying to deceive us""",Not-a-Feeling
ideal,WID-00012689-A-??-ideal,(ideal),"constituting or existing only in the form of an idea or mental image or conception; ""a poem or essay may be typical of its period in idea or ideal content""",Not-a-Feeling
wanton,WID-00012753-V-??-wanton,(wanton),behave extremely cruelly and brutally,Not-a-Feeling
well,WID-00012779-R-??-well,(well),"thoroughly or completely; fully; often used as a combining form; ""The problem is well understood""; ""she was well informed""; ""shake well before using""; ""in order to avoid food poisoning be sure the meat is well cooked""; ""well-done beef"", ""well-satisfied customers""; ""well-educated""",Not-a-Feeling
well,WID-00013092-R-??-well,(well),"favorably; with approval; ""their neighbors spoke well of them""; ""he thought well of the book""",Not-a-Feeling
concrete,WID-00013160-A-??-concrete,(concrete),"capable of being perceived by the senses; not abstract or imaginary; ""concrete objects such as trees""",Not-a-Feeling
bad,WID-00013236-R-??-badly,"(ill, badly)","unfavorably or with disapproval; ""tried not to speak ill of the dead""; ""thought badly of him for his lack of concern""",Not-a-Feeling
ill,WID-00013236-R-??-ill,"(ill, badly)","unfavorably or with disapproval; ""tried not to speak ill of the dead""; ""thought badly of him for his lack of concern""",Not-a-Feeling
well,WID-00013429-R-??-well,(well),"to a suitable or appropriate extent or degree; ""the project was well underway""; ""the fetus has well developed organs""; ""his father was well pleased with his grades""",Not-a-Feeling
act,WID-00013615-V-??-act,"(act, play, act_as)","pretend to have certain qualities or state of mind; ""He acted the idiot""; ""She plays deaf when the news are bad""",Not-a-Feeling
comfortable,WID-00013626-R-??-comfortably,"(well, comfortably)","in financial comfort; ""They live well""; ""she has been able to live comfortably since her husband died""",Not-a-Feeling
well,WID-00013626-R-??-well,"(well, comfortably)","in financial comfort; ""They live well""; ""she has been able to live comfortably since her husband died""",Not-a-Feeling
real,WID-00013662-A-??-real,"(real, tangible)","capable of being treated as fact; ""tangible evidence""; ""his brief time as Prime Minister brought few real benefits to the poor""",Not-a-Feeling
tangible,WID-00013662-A-??-tangible,"(real, tangible)","capable of being treated as fact; ""tangible evidence""; ""his brief time as Prime Minister brought few real benefits to the poor""",Not-a-Feeling
well,WID-00013793-R-??-well,"(well, advantageously)","in a manner affording benefit or advantage; ""she married well""; ""The children were settled advantageously in Seattle""",Not-a-Feeling
bad,WID-00014014-R-??-badly,"(badly, disadvantageously)","in a disadvantageous way; to someone's disadvantage; ""the venture turned out badly for the investors""; ""angry that the case was settled disadvantageously for them""",Not-a-Feeling
shake,WID-00014034-V-??-shake,"(shake, didder)","move with or as if with a tremor; ""his hands shook""",Not-a-Feeling
shiver,WID-00014201-V-??-shiver,"(shiver, shudder)","shake, as from cold; ""The children are shivering--turn on the heat!""",Physiological
shudder,WID-00014201-V-??-shudder,"(shiver, shudder)","shake, as from cold; ""The children are shivering--turn on the heat!""",Physiological
well,WID-00014285-R-??-well,"(well, considerably, substantially)","to a great extent or degree; ""I'm afraid the film was well over budget""; ""painting the room white made it seem considerably (or substantially) larger""; ""the house has fallen considerably in value""; ""the price went up substantially""",Not-a-Feeling
ample,WID-00014490-A-??-ample,"(ample, copious, plenteous, plentiful, rich)","affording an abundant supply; ""had ample food for the party""; ""copious provisions""; ""food is plentiful""; ""a plenteous grape harvest""; ""a rich supply""",Not-a-Feeling
well,WID-00014616-R-??-well,(well),"with skill or in a pleasing manner; ""she dances well""; ""he writes well""",Not-a-Feeling
bad,WID-00014738-R-??-badly,(badly),"without skill or in a displeasing manner; ""she writes badly""; ""I think he paints very badly""",Not-a-Feeling
sleep,WID-00014742-V-??-sleep,"(sleep, kip, slumber, log_Z's, catch_some_Z's)",be asleep,Not-a-Feeling
well,WID-00014882-R-??-well,(well),"with prudence or propriety; ""You would do well to say nothing more""; ""could not well refuse""",Not-a-Feeling
well,WID-00015007-R-??-well,"(well, intimately)","with great or especially intimate knowledge; ""we knew them well""",Not-a-Feeling
well,WID-00015135-R-??-well,(well),"(used for emphasis or as an intensifier) entirely or fully; ""a book well worth reading""; ""was well aware of the difficulties ahead""; ""suspected only too well what might be going on""",Not-a-Feeling
exuberant,WID-00015247-A-??-exuberant,"(exuberant, lush, luxuriant, profuse, riotous)","produced or growing in extreme abundance; ""their riotous blooming""",Not-a-Feeling
drowse,WID-00015303-V-??-drowse,"(snooze, drowse, doze)",sleep lightly or for a short period of time,Not-a-Feeling
snooze,WID-00015303-V-??-snooze,"(snooze, drowse, doze)",sleep lightly or for a short period of time,Not-a-Feeling
okay,WID-00015471-R-??-okay,"(okay, O.K., all_right, alright)","in a satisfactory or adequate manner; ""she'll do okay on her own""; ""held up all right under pressure""; (`alright' is a nonstandard variant of `all right')",Wellbeing
long,WID-00015589-A-??-long,(long),"having or being more than normal or necessary:""long on brains""; ""in long supply""",Not-a-Feeling
bad,WID-00015953-R-??-badly,"(badly, severely, gravely, seriously)","to a severe or serious degree; ""fingers so badly frozen they had to be amputated""; ""badly injured""; ""a severely impaired heart""; ""is gravely ill""; ""was seriously ill""",Not-a-Feeling
bad,WID-00016240-R-??-bad,"(badly, bad)","very much; strongly; ""I wanted it badly enough to work hard for it""; ""the cables had sagged badly""; ""they were badly in need of help""; ""he wants a bicycle so bad he can taste it""",Not-a-Feeling
bad,WID-00016240-R-??-badly,"(badly, bad)","very much; strongly; ""I wanted it badly enough to work hard for it""; ""the cables had sagged badly""; ""they were badly in need of help""; ""he wants a bicycle so bad he can taste it""",Not-a-Feeling
superabound,WID-00016247-A-??-superabundant,(superabundant),most excessively abundant,Not-a-Feeling
drowse,WID-00016380-V-??-drowse,(drowse),"be on the verge of sleeping; ""The students were drowsing in the 8 AM class""",Physiological
bad,WID-00016458-R-??-bad,"(badly, bad)","with great intensity (`bad' is a nonstandard variant for `badly'); ""the injury hurt badly""; ""the buildings were badly shaken""; ""it hurts bad""; ""we need water bad""",Not-a-Feeling
bad,WID-00016458-R-??-badly,"(badly, bad)","with great intensity (`bad' is a nonstandard variant for `badly'); ""the injury hurt badly""; ""the buildings were badly shaken""; ""it hurts bad""; ""we need water bad""",Not-a-Feeling
bad,WID-00016678-R-??-badly,"(badly, mischievously, naughtily)","in a disobedient or naughty way; ""he behaved badly in school""; ""he mischievously looked for a chance to embarrass his sister""; ""behaved naughtily when they had guests and was sent to his room""",Not-a-Feeling
scarce,WID-00016756-A-??-scarce,(scarce),"deficient in quantity or number compared with the demand; ""fresh vegetables were scarce during the drought""",Not-a-Feeling
bad,WID-00016950-R-??-badly,(badly),"evilly or wickedly; ""treated his parents badly""; ""to steal is to act badly""",Not-a-Feeling
worse,WID-00017077-R-??-worse,(worse),"(comparative of `ill') in a less effective or successful or desirable manner; ""he did worse on the second exam""",Not-a-Feeling
tight,WID-00017186-A-??-tight,(tight),"affected by scarcity and expensive to borrow; ""tight money""; ""a tight market""",Not-a-Feeling
mistreat,WID-00017352-A-??-mistreated,"(abused, ill-treated, maltreated, mistreated)","subjected to cruel treatment; ""an abused wife""",Social
arise,WID-00018158-V-??-arise,"(get_up, turn_out, arise, uprise, rise)","get up and out of bed; ""I get up at 7 A.M. every day""; ""They rose early""; ""He uprose at night""",Not-a-Feeling
rise,WID-00018158-V-??-rise,"(get_up, turn_out, arise, uprise, rise)","get up and out of bed; ""I get up at 7 A.M. every day""; ""They rose early""; ""He uprose at night""",Not-a-Feeling
impeach,WID-00018222-A-??-unimpeachable,"(unexceptionable, unimpeachable)","completely acceptable; not open to exception or reproach; ""two unexceptionable witnesses""; ""a judge's ethics should be unexceptionable""",Not-a-Feeling
awake,WID-00018526-V-??-awake,"(wake_up, awake, arouse, awaken, wake, come_alive, waken)","stop sleeping; ""She woke up to the sound of the alarm clock""",Not-a-Feeling
wake,WID-00018526-V-??-wake,"(wake_up, awake, arouse, awaken, wake, come_alive, waken)","stop sleeping; ""She woke up to the sound of the alarm clock""",Physiological
wake,WID-00018526-V-??-waken,"(wake_up, awake, arouse, awaken, wake, come_alive, waken)","stop sleeping; ""She woke up to the sound of the alarm clock""",Physiological
quite,WID-00018577-R-??-quite,(quite),"to the greatest extent; completely; ""you're quite right""; ""she was quite alone""; ""was quite mistaken""; ""quite the opposite""; ""not quite finished""; ""did not quite make it""",Not-a-Feeling
accept,WID-00018584-A-??-unacceptable,(unacceptable),"not acceptable; not welcome; ""a word unacceptable in polite society""; ""an unacceptable violation of personal freedom""",Not-a-Feeling
quite,WID-00018781-R-??-quite,"(quite, rather)","to a degree (not used with a negative); ""quite tasty""; ""quite soon""; ""quite ill""; ""quite rich""",Not-a-Feeling
rouse,WID-00018813-V-??-rouse,"(awaken, wake, waken, rouse, wake_up, arouse)","cause to become awake or conscious; ""He was roused by the drunken men in the street""; ""Please wake me at 6 AM.""",Physiological
wake,WID-00018813-V-??-wake,"(awaken, wake, waken, rouse, wake_up, arouse)","cause to become awake or conscious; ""He was roused by the drunken men in the street""; ""Please wake me at 6 AM.""",Physiological
wake,WID-00018813-V-??-waken,"(awaken, wake, waken, rouse, wake_up, arouse)","cause to become awake or conscious; ""He was roused by the drunken men in the street""; ""Please wake me at 6 AM.""",Physiological
objectionable,WID-00018850-A-??-objectionable,"(exceptionable, objectionable)","liable to objection or debate; used of something one might take exception to; ""a thoroughly unpleasant highly exceptionable piece of writing""; ""found the politician's views objectionable""",Not-a-Feeling
quite,WID-00018918-R-??-quite,"(quite, quite_a, quite_an)","of an unusually noticeable or exceptional or remarkable kind (not used with a negative); ""her victory was quite something""; ""she's quite a girl""; ""quite a film""; ""quite a walk""; ""we've had quite an afternoon""",Not-a-Feeling
quite,WID-00019181-R-??-quite,(quite),"actually or truly or to an extreme; ""was quite a sudden change""; ""it's quite the thing to do""; ""quite the rage""; ""Quite so!""",Not-a-Feeling
affect,WID-00019448-V-??-affect,(affect),"act physically on; have an effect upon; ""the medicine affects my heart rate""",Not-a-Feeling
remote,WID-00020103-A-??-remote,"(outback, remote)",inaccessible and sparsely populated;,Not-a-Feeling
wake,WID-00020133-V-??-wake,(wake),"be awake, be alert, be there",Physiological
incessant,WID-00020280-R-??-incessantly,"(constantly, always, forever, perpetually, incessantly)","without interruption; ""the world is constantly changing""",Not-a-Feeling
mesmerize,WID-00020671-V-??-mesmerize,"(hypnotize, hypnotise, mesmerize, mesmerise)",induce hypnosis in,Physiological
close,WID-00022219-A-??-close,"(close, faithful)","marked by fidelity to an original; ""a close translation""; ""a faithful copy of the portrait""; ""a faithful rendering of the observed facts""",Not-a-Feeling
calm,WID-00022316-V-??-calm,"(sedate, calm, tranquilize, tranquillize, tranquillise)","cause to be calm or quiet as by administering a sedative to; ""The patient must be sedated before the operation""",Physiological
sedate,WID-00022316-V-??-sedate,"(sedate, calm, tranquilize, tranquillize, tranquillise)","cause to be calm or quiet as by administering a sedative to; ""The patient must be sedated before the operation""",Physiological
tranquilize,WID-00022316-V-??-tranquilize,"(sedate, calm, tranquilize, tranquillize, tranquillise)","cause to be calm or quiet as by administering a sedative to; ""The patient must be sedated before the operation""",Physiological
energy,WID-00022686-V-??-energize,"(stimulate, arouse, brace, energize, energise, perk_up)","cause to be alert and energetic; ""Coffee and tea stimulate me""; ""This herbal infusion doesn't stimulate""",Physiological
TRUE,WID-00023120-A-??-true,"(true, dead_on_target)","accurately placed or thrown; ""his aim was true""; ""he was dead on target""",Not-a-Feeling
cognition,WID-00023271-N-??-cognition,"(cognition, knowledge, noesis)",the psychological result of perception and learning and reasoning,Not-a-Feeling
right,WID-00023278-A-??-right,"(veracious, right)","precisely accurate; ""a veracious account""",Actions
veracious,WID-00023278-A-??-veracious,"(veracious, right)","precisely accurate; ""a veracious account""",Actions
perk,WID-00023473-V-??-perk,"(perk_up, perk, percolate, pick_up, gain_vigor)","gain or regain energy; ""I picked up after a nap""",Not-a-Feeling
faint,WID-00023646-V-??-faint,"(faint, conk, swoon, pass_out)","pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain",Not-a-Feeling
swoon,WID-00023646-V-??-swoon,"(faint, conk, swoon, pass_out)","pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain",Not-a-Feeling
outside,WID-00023655-A-??-outside,"(away, outside)","(of a baseball pitch) on the far side of home plate from the batter; ""the pitch was away (or wide)""; ""an outside pitch""",Not-a-Feeling
wrong,WID-00023854-A-??-wrong,"(faulty, incorrect, wrong)","characterized by errors; not agreeing with a model or not following established rules; ""he submitted a faulty report""; ""an incorrect transcription""; the wrong side of the road""",Not-a-Feeling
revive,WID-00024047-V-??-revive,"(come_to, revive, resuscitate)","return to consciousness; ""The patient came to quickly""; ""She revived after the doctor gave her an injection""",Physiological
nothing,WID-00024257-R-??-nothing,(nothing),"in no respect; to no degree; ""he looks nothing like his father""",Not-a-Feeling
quicken,WID-00024279-V-??-quicken,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Not-a-Feeling
recreate,WID-00024279-V-??-recreate,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Physiological
renovate,WID-00024279-V-??-renovate,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Physiological
revive,WID-00024279-V-??-revive,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Physiological
revivify,WID-00024279-V-??-revivify,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Physiological
vivify,WID-00024279-V-??-vivify,"(animate, recreate, reanimate, revive, renovate, repair, quicken, vivify, revivify)","give new life or energy to; ""A hot soup will revive me""; ""This will renovate my spirits""; ""This treatment repaired my health""",Physiological
fresh,WID-00024649-V-??-freshen,"(refresh, freshen, refreshen)",make fresh again,Not-a-Feeling
fresh,WID-00024814-V-??-freshen,"(freshen, refresh, refreshen, freshen_up)","become or make oneself fresh again; ""She freshened up after the tennis game""",Physiological
accustom,WID-00024834-A-??-unaccustomed,(unaccustomed),"not habituated to; unfamiliar with; ""unaccustomed to wearing suits""",Actions
new,WID-00024996-A-??-new,(new),"unfamiliar; ""new experiences""; ""experiences new to him""; ""errors of someone new to the job""",Other
